提拉	ti~la
看的上	kan~de~shang
看的到	kan~de~dao
看得清	kan~de~qing
看得懂	kan~de~dong
看得出	kan~de~chu
看到这里	kan~dao~zhe~li
看到他后	kan~dao~ta~hou
看到请回话	kan~dao~qing~hui~hua
看到起	kan~dao~qi
看到你们	kan~dao~ni~men
看到你的	kan~dao~ni~de
看到回	kan~dao~hui
看到啊	kan~dao~a
看错乱	kan~cuo~luan
看穿	kan~chuan
看出来	kan~chu~lai
看程度	kan~cheng~du
看差了	kan~cha~le
看差	kan~cha
看不下去了	kan~bu~xia~qu~le
看不下去	kan~bu~xia~qu
看不下	kan~bu~xia
看不透	kan~bu~tou
看不起昂	kan~bu~qi~ang
看不了了	kan~bu~le~le
看不来	kan~bu~lai
看不见呀	kan~bu~jian~ya
看不懂么	kan~bu~dong~yao
看不辍了	kan~bu~chuo~le
看病了	kan~bing~le
看别的	kan~bie~de
看报纸	kan~bao~zhi
看按	kan~an
看啊	kan~a
槛猿笼鸟	jian~yuan~long~niao
槛车	jian~che
砍石头	kan~shi~tou
砍柴	kan~chai
坎德拉	kan~de~la
堪萨斯	kan~sa~si
堪培拉	kan~pei~la
堪比	kan~bi
勘探队员	kan~tan~dui~yuan
勘探	kan~tan
凯约	kai~yue
凯西	kai~xi
凯士金	kai~shi~jin
凯莱	kai~lai
凯拉	kai~la
凯毒	kai~du
凯迪拉克	kai~di~la~ke
开走二院	kai~zou~er~yuan
开支持	kai~zhi~chi
开着么么	kai~zhao~yao~yao
开着灯	kai~zhao~deng
开这们	kai~zhe~men
开张大吉	kai~zhang~da~ji
开运动会	kai~yun~dong~hui
开元寺	kai~yuan~si
开元路	kai~yuan~lu
开语言	kai~yu~yan
开哟	kai~yo
开夜车	kai~ye~che
开药	kai~yao
开眼	kai~yan
开熏	kai~xun
开学见	kai~xue~jian
开学季节	kai~xue~ji~jie
开学后	kai~xue~hou
开心一点	kai~xin~yi~dian
开心个	kai~xin~ge
开心点吗	kai~xin~dian~ma
开心德人	kai~xin~de~ren
开心不	kai~xin~bu
开心吧	kai~xin~ba
开小灶	kai~xiao~zao
开下门	kai~xia~men
开席钠	kai~xi~na
开胃菜	kai~wei~cai
开网她	kai~wang~ta
开玩笑吗	kai~wan~xiao~ma
开玩笑啊	kai~wan~xiao~a
开玩下来	kai~wan~xia~lai
开完逆袭哦	kai~wan~ni~xi~e
开完家常会	kai~wan~jia~chang~hui
开团	kai~tuan
开头难	kai~tou~nan
开通了	kai~tong~le
开天启	kai~tian~qi
开锁	kai~suo
开松机	kai~song~ji
开水瓶来	kai~shui~ping~lai
开谁的	kai~shui~de
开数据	kai~shu~ju
开始正式	kai~shi~zheng~shi
开始曲	kai~shi~qu
开审	kai~shen
开山	kai~shan
开晒路	kai~shai~lu
开啥	kai~sha
开情侣	kai~qing~lv
开情露	kai~qing~lu
开启噢	kai~qi~o
开其它的	kai~qi~ta~de
开盘	kai~pan
开幕式	kai~mu~shi
开明	kai~ming
开么	kai~yao
开溜	kai~liu
开裂	kai~lie
开了会	kai~le~hui
开了点要	kai~le~dian~yao
开阔地	kai~kuo~di
开矿	kai~kuang
开口了	kai~kou~le
开口闭口	kai~kou~bi~kou
开空调	kai~kong~diao
开卡车的	kai~qia~che~de
开镜	kai~jing
开会喇	kai~hui~la
开会不	kai~hui~bu
开会吧	kai~hui~ba
开花结果	kai~hua~jie~guo
开户行	kai~hu~xing
开好久	kai~hao~jiu
开还是参	kai~huan~shi~can
开哈	kai~ha
开国凯	kai~guo~kai
开工编辑	kai~gong~bian~ji
开服	kai~fu
开飞机	kai~fei~ji
开放型	kai~fang~xing
开放教育	kai~fang~jiao~yu
开饭啦	kai~fan~la
开发者	kai~fa~zhe
开恩	kai~en
开端	kai~duan
开店药	kai~dian~yao
开店了	kai~dian~le
开点药	kai~dian~yao
开单了吗	kai~dan~le~ma
开打	kai~da
开窗户	kai~chuang~hu
开窗	kai~chuang
开船	kai~chuan
开除了	kai~chu~le
开除不料	kai~chu~bu~liao
开车呢	kai~che~ni
开吵	kai~chao
开场舞	kai~chang~wu
开场	kai~chang
开槽	kai~cao
开不开心	kai~bu~kai~xin
开不开门	kai~bu~kai~men
开不动	kai~bu~dong
开遍	kai~bian
开笔阿	kai~bi~a
开包	kai~bao
开办小	kai~ban~xiao
开啊	kai~a
卡在	qia~zai
卡休克	qia~xiu~ke
卡希尔	qia~xi~er
卡西欧	qia~xi~ou
卡文迪	qia~wen~di
卡哇	qia~wa
卡通人物	qia~tong~ren~wu
卡通蛋糕	qia~tong~dan~gao
卡特彼勒	qia~te~bi~le
卡死迷	qia~si~mi
卡上	qia~shang
卡沙	qia~sha
卡色	qia~se
卡券	qia~quan
卡吗	qia~ma
卡利	qia~li
卡拉巴	qia~la~ba
卡卡的	qia~qia~de
卡咯	qia~ge
卡尔	qia~er
卡嗯人家	qia~嗯~ren~jia
卡到记住级	qia~dao~ji~zhu~ji
卡布期末	qia~bu~qi~mo
卡不西游	qia~bu~xi~you
卡爆	qia~bao
卡包	qia~bao
喀拉拉邦	ka~la~la~bang
咖里噶丽	ka~li~ge~li
咖喱	ka~li
咖啡豆	ka~fei~dou
咖啡杯	ka~fei~bei
咔咔咔	ka~ka~ka
咔机	ka~ji
骏达	jun~da
浚县	jun~xian
俊益	jun~yi
俊雄	jun~xiong
俊美无双	jun~mei~wu~shuang
俊了	jun~le
俊斌	jun~bin
菌菇	jun~gu
君子好逑	jun~zi~hao~qiu
君威	jun~wei
君王	jun~wang
君临天下	jun~lin~tian~xia
君临	jun~lin
君君	jun~jun
均价	jun~jia
均不	jun~bu
军中	jun~zhong
军友	jun~you
军用	jun~yong
军训之后	jun~xun~zhi~hou
军事化	jun~shi~hua
军人机密	jun~ren~ji~mi
军棋	jun~qi
军妻	jun~qi
军门	jun~men
军棍	jun~gun
军广哈	jun~guang~ha
军功	jun~gong
军方	jun~fang
爵马	jue~ma
蕨根粉	jue~gen~fen
掘金	jue~jin
掘地牵手	jue~di~qian~shou
掘把	jue~ba
绝招	jue~zhao
绝缘体	jue~yuan~ti
绝育	jue~yu
绝味鸭脖	jue~wei~ya~bo
绝世日咯进	jue~shi~ri~ge~jin
绝世	jue~shi
绝色天香	jue~se~tian~xiang
绝人	jue~ren
绝热	jue~re
绝交吧	jue~jiao~ba
绝对是	jue~dui~shi
绝对的	jue~dui~de
绝顶聪明	jue~ding~cong~ming
绝地拳赛	jue~di~quan~sai
绝地求	jue~di~qiu
绝地反击	jue~di~fan~ji
绝倒	jue~dao
绝宠	jue~chong
绝壁	jue~bi
绝逼	jue~bi
绝版	jue~ban
绝	jue
诀窍	jue~qiao
诀竟	jue~jing
决战	jue~zhan
决议	jue~yi
决死队	jue~si~dui
决然	jue~ran
决绝	jue~jue
决定了	jue~ding~le
撅着小嘴	jue~zhao~xiao~zui
撅起来	jue~qi~lai
眷念	juan~nian
眷顾	juan~gu
绢花	juan~hua
卷纸呗	juan~zhi~bai
卷起	juan~qi
卷毛	juan~mao
卷管	juan~guan
卷发梳	juan~fa~shu
卷发夹	juan~fa~jia
卷不是	juan~bu~shi
卷呗	juan~bai
卷	juan
聚众赌博	ju~zhong~du~bo
聚在	ju~zai
聚乙炔	ju~yi~gui
聚拍拍	ju~pai~pai
聚梦	ju~meng
聚看	ju~kan
聚集地	ju~ji~di
聚会吗	ju~hui~ma
聚划算	ju~hua~suan
聚不了	ju~bu~le
聚不聚	ju~bu~ju
聚不到	ju~bu~dao
聚安	ju~an
锯木头	ju~mu~tou
距市中心	ju~shi~zhong~xin
距离	ju~li
距今	ju~jin
距根少年	ju~gen~shao~nian
据我所知	ju~wo~suo~zhi
据踏破最土	ju~ta~po~zui~tu
据说是	ju~shuo~shi
据点	ju~dian
剧照	ju~zhao
剧名	ju~ming
剧场版	ju~chang~ban
剧场	ju~chang
俱全	ju~quan
俱疲	ju~pi
具体情况	ju~ti~qing~kuang
具体化	ju~ti~hua
具体点	ju~ti~dian
具体地说	ju~ti~di~shuo
具	ju
拒绝黄赌毒	ju~jue~huang~du~du
拒绝的	ju~jue~de
句容	ju~rong
句句	ju~ju
句法	ju~fa
句	ju
巨婴	ju~ying
巨响	ju~xiang
巨细额	ju~xi~e
巨无霸	ju~wu~ba
巨贪	ju~tan
巨人	ju~ren
巨慢	ju~man
巨鹿	ju~lu
巨多	ju~duo
举止大方	ju~zhi~da~fang
举镇	ju~zhen
举着	ju~zhao
举手投足	ju~shou~tou~zu
举起搜集啊	ju~qi~sou~ji~a
举目	ju~mu
举不举	ju~bu~ju
举报中心	ju~bao~zhong~xin
举报我	ju~bao~wo
举办了	ju~ban~le
举办地	ju~ban~di
橘子皮	ju~zi~pi
橘子红了	ju~zi~hong~le
橘軞	ju~mao
橘猫	ju~mao
橘红	ju~hong
橘粉色	ju~fen~se
焗饭	ju~fan
局长级	ju~chang~ji
局限性	ju~xian~xing
局外人	ju~wai~ren
鞠躬尽瘁	ju~gong~jin~cui
鞠躬	ju~gong
居住地	ju~zhu~di
居者	ju~zhe
居委会	ju~wei~hui
居世界前列	ju~shi~jie~qian~lie
居然会	ju~ran~hui
居民委员会	ju~min~wei~yuan~hui
居民区	ju~min~qu
居酒屋	ju~jiu~wu
居家委会	ju~jia~wei~hui
居地	ju~di
狙击抢	ju~ji~qiang
圧资格	ya~zi~ge
舅妈	jiu~ma
舅舅家	jiu~jiu~jia
舅舅	jiu~jiu
舅姑	jiu~gu
舅父母	jiu~fu~mu
就坐	jiu~zuo
就昨天	jiu~zuo~tian
就嘴好	jiu~zui~hao
就走亲戚	jiu~zou~qin~qi
就走不	jiu~zou~bu
就自动	jiu~zi~dong
就专门	jiu~zhuan~men
就主动	jiu~zhu~dong
就周日	jiu~zhou~ri
就职业	jiu~zhi~ye
就知道你懂	jiu~zhi~dao~ni~dong
就知道了	jiu~zhi~dao~le
就只玩	jiu~zhi~wan
就只跟我	jiu~zhi~gen~wo
就真的	jiu~zhen~de
就这种	jiu~zhe~zhong
就这一种	jiu~zhe~yi~zhong
就这牙根	jiu~zhe~ya~gen
就这些	jiu~zhe~xie
就这么肉多	jiu~zhe~yao~rou~duo
就这么	jiu~zhe~yao
就这两张	jiu~zhe~liang~zhang
就这两天	jiu~zhe~liang~tian
就这块	jiu~zhe~kuai
就这几	jiu~zhe~ji
就这儿呒	jiu~zhe~er~fu
就这吧	jiu~zhe~ba
就找我要	jiu~zhao~wo~yao
就找谁	jiu~zhao~shui
就找不但	jiu~zhao~bu~dan
就找	jiu~zhao
就涨价	jiu~zhang~jia
就长大	jiu~chang~da
就早了	jiu~zao~le
就在这时	jiu~zai~zhe~shi
就在这	jiu~zai~zhe
就在于	jiu~zai~yu
就在意次	jiu~zai~yi~ci
就在哪里	jiu~zai~na~li
就再见	jiu~zai~jian
就又倒回去	jiu~you~dao~hui~qu
就有这个	jiu~you~zhe~ge
就有时间	jiu~you~shi~jian
就有人	jiu~you~ren
就有点少了	jiu~you~dian~shao~le
就因为偶	jiu~yin~wei~ou
就一直	jiu~yi~zhi
就一页	jiu~yi~ye
就一些	jiu~yi~xie
就一块	jiu~yi~kuai
就一句	jiu~yi~ju
就一杯	jiu~yi~bei
就业证	jiu~ye~zheng
就业要	jiu~ye~yao
就业你吃	jiu~ye~ni~chi
就要有	jiu~yao~you
就要了	jiu~yao~le
就要把	jiu~yao~ba
就摇头	jiu~yao~tou
就选它	jiu~xuan~ta
就需要	jiu~xu~yao
就信个	jiu~xin~ge
就笑你	jiu~xiao~ni
就消失了	jiu~xiao~shi~le
就消气	jiu~xiao~qi
就像语文	jiu~xiang~yu~wen
就像是	jiu~xiang~shi
就像老鼠	jiu~xiang~lao~shu
就想以	jiu~xiang~yi
就想要	jiu~xiang~yao
就想我	jiu~xiang~wo
就想了啊	jiu~xiang~le~a
就想吃	jiu~xiang~chi
就相当于	jiu~xiang~dang~yu
就先困	jiu~xian~kun
就下去	jiu~xia~qu
就下来	jiu~xia~lai
就下班了	jiu~xia~ban~le
就下按	jiu~xia~an
就喜欢你	jiu~xi~huan~ni
就洗脸	jiu~xi~lian
就无意间	jiu~wu~yi~jian
就我一人	jiu~wo~yi~ren
就我一个人	jiu~wo~yi~ge~ren
就我那天	jiu~wo~na~tian
就我俩	jiu~wo~lia
就我两	jiu~wo~liang
就我和	jiu~wo~he
就我跟	jiu~wo~gen
就问他	jiu~wen~ta
就完事了	jiu~wan~shi~le
就完事	jiu~wan~shi
就完蛋了	jiu~wan~dan~le
就娃呢	jiu~wa~ni
就托着	jiu~tuo~zhao
就托单了	jiu~tuo~dan~le
就退钱吧	jiu~tui~qian~ba
就退了吧	jiu~tui~le~ba
就图上的	jiu~tu~shang~de
就痛了	jiu~tong~le
就听到	jiu~ting~dao
就填了下	jiu~tian~le~xia
就天天	jiu~tian~tian
就探个头	jiu~tan~ge~tou
就她	jiu~ta
就算了呗	jiu~suan~le~bai
就死了	jiu~si~le
就说什么	jiu~shuo~shi~yao
就说了说	jiu~shuo~le~shuo
就说了	jiu~shuo~le
就说分手	jiu~shuo~fen~shou
就说步出来	jiu~shuo~bu~chu~lai
就睡莲	jiu~shui~lian
就睡觉了	jiu~shui~jue~le
就睡觉俄	jiu~shui~jue~e
就属于	jiu~shu~yu
就舒服	jiu~shu~fu
就瘦了	jiu~shou~le
就受不了	jiu~shou~bu~le
就是自己走	jiu~shi~zi~ji~zou
就是这种路	jiu~shi~zhe~zhong~lu
就是这样的	jiu~shi~zhe~yang~de
就是这个	jiu~shi~zhe~ge
就是在	jiu~shi~zai
就是呀	jiu~shi~ya
就是想	jiu~shi~xiang
就是她	jiu~shi~ta
就是谁的	jiu~shi~shui~de
就是能吃	jiu~shi~neng~chi
就是嘸	jiu~shi~fu
就是吗似乎	jiu~shi~ma~si~hu
就是累	jiu~shi~lei
就是了嘛	jiu~shi~le~ma
就是啦	jiu~shi~la
就是好吃	jiu~shi~hao~chi
就是个屁	jiu~shi~ge~pi
就是错过	jiu~shi~cuo~guo
就是出去玩	jiu~shi~chu~qu~wan
就是不知道	jiu~shi~bu~zhi~dao
就是薄	jiu~shi~bo
就是吧	jiu~shi~ba
就是把	jiu~shi~ba
就十块	jiu~shi~kuai
就剩我	jiu~sheng~wo
就少	jiu~shao
就上应用	jiu~shang~ying~yong
就上来了	jiu~shang~lai~le
就上来	jiu~shang~lai
就上床了	jiu~shang~chuang~le
就擅改了	jiu~shan~gai~le
就删	jiu~shan
就绕摊里了	jiu~rao~tan~li~le
就让她	jiu~rang~ta
就去找你	jiu~qu~zhao~ni
就去呢	jiu~qu~ni
就去买	jiu~qu~mai
就去哈	jiu~qu~ha
就请假	jiu~qing~jia
就切	jiu~qie
就其来了	jiu~qi~lai~le
就欺负	jiu~qi~fu
就陪	jiu~pei
就跑	jiu~pao
就胖	jiu~pang
就拍一个吗	jiu~pai~yi~ge~ma
就偶是	jiu~ou~shi
就你一个人	jiu~ni~yi~ge~ren
就你社会	jiu~ni~she~hui
就你那	jiu~ni~na
就能提现	jiu~neng~ti~xian
就能看	jiu~neng~kan
就能关弹幕	jiu~neng~guan~dan~mu
就能到家	jiu~neng~dao~jia
就那样吧	jiu~na~yang~ba
就那么搜哇	jiu~na~yao~sou~wa
就那么几条	jiu~na~yao~ji~tiao
就那么	jiu~na~yao
就那几首	jiu~na~ji~shou
就那个耍	jiu~na~ge~shua
就哪个好	jiu~na~ge~hao
就木说	jiu~mu~shuo
就明天	jiu~ming~tian
就明白	jiu~ming~bai
就免了	jiu~mian~le
就米谢网	jiu~mi~xie~wang
就美鸡窝	jiu~mei~ji~wo
就没做	jiu~mei~zuo
就没有了	jiu~mei~you~le
就没用	jiu~mei~yong
就没想	jiu~mei~xiang
就没说过	jiu~mei~shuo~guo
就没时间	jiu~mei~shi~jian
就没啥事	jiu~mei~sha~shi
就没啥	jiu~mei~sha
就没入	jiu~mei~ru
就没钱	jiu~mei~qian
就没啦	jiu~mei~la
就没空了	jiu~mei~kong~le
就没得	jiu~mei~de
就骂你嘞	jiu~ma~ni~lei
就搂着	jiu~lou~zhao
就刘	jiu~liu
就领了	jiu~ling~le
就聊气	jiu~liao~qi
就聊	jiu~liao
就两天	jiu~liang~tian
就联系	jiu~lian~xi
就来个	jiu~lai~ge
就拉倒	jiu~la~dao
就困	jiu~kun
就快了	jiu~kuai~le
就可以做	jiu~ke~yi~zuo
就可以吗	jiu~ke~yi~ma
就考试	jiu~kao~shi
就看你一	jiu~kan~ni~yi
就看点	jiu~kan~dian
就看出来了	jiu~kan~chu~lai~le
就开始了	jiu~kai~shi~le
就开	jiu~kai
就就在心里	jiu~jiu~zai~xin~li
就惊天去来	jiu~liang~tian~qu~lai
就结束了	jiu~jie~shu~le
就结束	jiu~jie~shu
就结婚了	jiu~jie~hun~le
就结婚	jiu~jie~hun
就教我	jiu~jiao~wo
就叫我	jiu~jiao~wo
就交给我把	jiu~jiao~gei~wo~ba
就见效	jiu~jian~xiao
就加以下	jiu~jia~yi~xia
就记不住	jiu~ji~bu~zhu
就会做	jiu~hui~zuo
就会去看	jiu~hui~qu~kan
就会了艾克	jiu~hui~le~ai~ke
就会好	jiu~hui~hao
就会打	jiu~hui~da
就会出现	jiu~hui~chu~xian
就回去啦	jiu~hui~qu~la
就回家了	jiu~hui~jia~le
就回不去了	jiu~hui~bu~qu~le
就坏了	jiu~huai~le
就胡涂	jiu~hu~tu
就很难	jiu~hen~nan
就和我	jiu~he~wo
就和你	jiu~he~ni
就和别人	jiu~he~bie~ren
就号令	jiu~hao~ling
就好像	jiu~hao~xiang
就好傻	jiu~hao~sha
就好了吗	jiu~hao~le~ma
就好多	jiu~hao~duo
就行呢	jiu~xing~ni
就行啦	jiu~xing~la
就行啊	jiu~xing~a
就还了	jiu~huan~le
就过去了	jiu~guo~qu~le
就过去	jiu~guo~qu
就过	jiu~guo
就怪你	jiu~guai~ni
就怪了	jiu~guai~le
就挂	jiu~gua
就跟你	jiu~gen~ni
就给我了	jiu~gei~wo~le
就给	jiu~gei
就干嘛	jiu~gan~ma
就改	jiu~gai
就该有	jiu~gai~you
就该了	jiu~gai~le
就服你	jiu~fu~ni
就服	jiu~fu
就分手	jiu~fen~shou
就飞	jiu~fei
就放心	jiu~fang~xin
就放假了	jiu~fang~jia~le
就放假	jiu~fang~jia
就发发	jiu~fa~fa
就多了	jiu~duo~le
就对	jiu~dui
就断流	jiu~duan~liu
就读个	jiu~du~ge
就地	jiu~di
就低保	jiu~di~bao
就等我	jiu~deng~wo
就得用	jiu~de~yong
就得了	jiu~de~le
就得到	jiu~de~dao
就到啦	jiu~dao~la
就到家了	jiu~dao~jia~le
就倒在	jiu~dao~zai
就当做	jiu~dang~zuo
就淡了	jiu~dan~le
就带	jiu~dai
就打算	jiu~da~suan
就打你	jiu~da~ni
就打卡了	jiu~da~qia~le
就打个拍	jiu~da~ge~pai
就达拟	jiu~da~ni
就此啊	jiu~ci~a
就穿了	jiu~chuan~le
就穿	jiu~chuan
就出外	jiu~chu~wai
就丑	jiu~chou
就充吧	jiu~chong~ba
就冲	jiu~chong
就吃屎	jiu~chi~shi
就吵还来和	jiu~chao~huan~lai~he
就差头像	jiu~cha~tou~xiang
就差了	jiu~cha~le
就惨了	jiu~can~le
就惨咯	jiu~can~ge
就餐	jiu~can
就不在意	jiu~bu~zai~yi
就不在了	jiu~bu~zai~le
就不用了	jiu~bu~yong~le
就不应该	jiu~bu~ying~gai
就不一样	jiu~bu~yi~yang
就不一起	jiu~bu~yi~qi
就不要涡轮	jiu~bu~yao~wo~lun
就不要脸	jiu~bu~yao~lian
就不噷是	jiu~bu~xin~shi
就不想	jiu~bu~xiang
就不惜还	jiu~bu~xi~huan
就不玩了	jiu~bu~wan~le
就不通客	jiu~bu~tong~ke
就不说话	jiu~bu~shuo~hua
就不顺	jiu~bu~shun
就不睡	jiu~bu~shui
就不是我了	jiu~bu~shi~wo~le
就不容易了	jiu~bu~rong~yi~le
就不认识她	jiu~bu~ren~shi~ta
就不认识	jiu~bu~ren~shi
就不忍为	jiu~bu~ren~wei
就不让我	jiu~bu~rang~wo
就不让你	jiu~bu~rang~ni
就不难受苦	jiu~bu~nan~shou~ku
就不换	jiu~bu~huan
就不和你	jiu~bu~he~ni
就不好吃了	jiu~bu~hao~chi~le
就不行吗	jiu~bu~xing~ma
就不管了	jiu~bu~guan~le
就不辜负我	jiu~bu~gu~fu~wo
就不告书你	jiu~bu~gao~shu~ni
就不发	jiu~bu~fa
就不对了	jiu~bu~dui~le
就不愁	jiu~bu~chou
就补交	jiu~bu~jiao
就别玩	jiu~bie~wan
就别来	jiu~bie~lai
就别和我	jiu~bie~he~wo
就变味	jiu~bian~wei
就比如	jiu~bi~ru
就比你	jiu~bi~ni
就被我	jiu~bei~wo
就包了	jiu~bao~le
就帮	jiu~bang
就把你	jiu~ba~ni
就把	jiu~ba
就爱	jiu~ai
救灾恤患	jiu~zai~xu~huan
救援	jiu~yuan
救死扶伤	jiu~si~fu~shang
救生圈	jiu~sheng~quan
救人者	jiu~ren~zhe
救难	jiu~nan
救命之恩	jiu~ming~zhi~en
救命啊	jiu~ming~a
救救我	jiu~jiu~wo
救键	jiu~jian
救火拉	jiu~huo~la
救不了	jiu~bu~le
旧日	jiu~ri
旧民主	jiu~min~zhu
旧历	jiu~li
旧车	jiu~che
旧版本	jiu~ban~ben
旧爱	jiu~ai
酒桌	jiu~zhuo
酒宴	jiu~yan
酒窝雅拉列	jiu~wo~ya~la~lie
酒太多	jiu~tai~duo
酒神	jiu~shen
酒肉	jiu~rou
酒泉	jiu~quan
酒钱	jiu~qian
酒品极差	jiu~pin~ji~cha
酒累了	jiu~lei~le
酒精那天	jiu~jing~na~tian
酒后乱性	jiu~hou~luan~xing
酒过三巡	jiu~guo~san~xun
酒鬼说	jiu~gui~shuo
酒疯	jiu~feng
酒店管理	jiu~dian~guan~li
酒店宾馆	jiu~dian~bin~guan
酒店	jiu~dian
酒吧里	jiu~ba~li
酒吧啊	jiu~ba~a
久赞	jiu~zan
久游这个	jiu~you~zhe~ge
久仰大名	jiu~yang~da~ming
久违的	jiu~wei~de
久啦	jiu~la
久久鸭	jiu~jiu~ya
久久不忘	jiu~jiu~bu~wang
久扽火	jiu~dun~huo
久不理我	jiu~bu~li~wo
久别看客	jiu~bie~kan~ke
九子	jiu~zi
九重	jiu~zhong
九一发	jiu~yi~fa
九娃	jiu~wa
九死一生	jiu~si~yi~sheng
九十五	jiu~shi~wu
九十七中	jiu~shi~qi~zhong
九十哪	jiu~shi~na
九十九个	jiu~shi~jiu~ge
九十九步	jiu~shi~jiu~bu
九十机	jiu~shi~ji
九泉之下	jiu~quan~zhi~xia
九曲溪	jiu~qu~xi
九千吨	jiu~qian~dun
九牧王	jiu~mu~wang
九里	jiu~li
九黎	jiu~li
九块九	jiu~kuai~jiu
九块八	jiu~kuai~ba
九科树	jiu~ke~shu
九考	jiu~kao
九九歌	jiu~jiu~ge
九键的	jiu~jian~de
九华洲	jiu~hua~zhou
九华	jiu~hua
九分钟	jiu~fen~zhong
九分卑微	jiu~fen~bei~wei
九厄好	jiu~e~hao
九段	jiu~duan
九点之前才	jiu~dian~zhi~qian~cai
九点之前	jiu~dian~zhi~qian
九点以后	jiu~dian~yi~hou
九点到	jiu~dian~dao
九点半了	jiu~dian~ban~le
九单元	jiu~dan~yuan
啾咪	jiu~mi
揪我	jiu~wo
究竟	jiu~jing
究极日月	jiu~ji~ri~yue
纠结症	jiu~jie~zheng
窘迫	jiong~po
囧囧十二座	jiong~jiong~shi~er~zuo
镜中人	jing~zhong~ren
镜头膜	jing~tou~mo
镜花缘	jing~hua~yuan
静养	jing~yang
静心思过	jing~xin~si~guo
静下心	jing~xia~xin
静脉曲张	jing~mai~qu~zhang
静脉	jing~mai
静静唔	jing~jing~wu
静静	jing~jing
静海	jing~hai
静哥	jing~ge
静等	jing~deng
静待	jing~dai
静	jing
靖亚琦	jing~ya~qi
敬业人	jing~ye~ren
敬业卡	jing~ye~qia
敬谢不敏	jing~xie~bu~min
敬酒服	jing~jiu~fu
竟然刷到了	jing~ran~shua~dao~le
竟然不理我	jing~ran~bu~li~wo
竟亲自	jing~qin~zi
竞争者	jing~zheng~zhe
竞争对手	jing~zheng~dui~shou
竞速	jing~su
竞赛题	jing~sai~ti
竞赛计划	jing~sai~ji~hua
竞价排名	jing~jia~pai~ming
竞价	jing~jia
胫大于股	jing~da~yu~gu
净月	jing~yue
净水厂	jing~shui~chang
净水	jing~shui
净留存	jing~liu~cun
净含量	jing~han~liang
径	jing
警探	jing~tan
警报声	jing~bao~sheng
警报	jing~bao
景众园林	jing~zhong~yuan~lin
景文	jing~wen
景森	jing~sen
景色秀丽	jing~se~xiu~li
景亮	jing~liang
景洪	jing~hong
景观工程	jing~guan~gong~cheng
颈椎病	jing~zhui~bing
颈部	jing~bu
井下心来	jing~xia~xin~lai
井盖网	jing~gai~wang
井盖	jing~gai
井底之蛙	jing~di~zhi~wa
鲸鱼	jing~yu
精益求精	jing~yi~qiu~jing
精心打造	jing~xin~da~zao
精武门	jing~wu~men
精神品质	jing~shen~pin~zhi
精神好	jing~shen~hao
精神分裂症	jing~shen~fen~lie~zheng
精神病人	jing~shen~bing~ren
精品街	jing~pin~jie
精明	jing~ming
精力旺盛	jing~li~wang~sheng
精力	jing~li
精华乳	jing~hua~ru
精华露	jing~hua~lu
精华基底液	jing~hua~ji~di~ye
精度	jing~du
睛明穴	jing~ming~xue
惊心动魄	liang~xin~dong~po
惊天动地	liang~tian~dong~di
惊恐	liang~kong
惊鸿	liang~hong
惊呆	liang~dai
荆州	jing~zhou
荆楚	jing~chu
经幢	jing~chuang
经站	jing~zhan
经允许	jing~yun~xu
经营户	jing~ying~hu
经晚	jing~wan
经十路	jing~shi~lu
经贸路	jing~mao~lu
经量	jing~liang
经历过的	jing~li~guo~de
经历过	jing~li~guo
经理吧	jing~li~ba
经济型	jing~ji~xing
经济实惠	jing~ji~shi~hui
经济啦	jing~ji~la
经济建设	jing~ji~jian~she
经济部	jing~ji~bu
经纪人	jing~ji~ren
经过将近	jing~guo~jiang~jin
经典之作	jing~dian~zhi~zuo
经典款	jing~dian~kuan
经典回顾	jing~dian~hui~gu
经垂体	jing~chui~ti
经常在	jing~chang~zai
经常去	jing~chang~qu
经常的事	jing~chang~de~shi
经不起	jing~bu~qi
经编厂	jing~bian~chang
京江学运	jing~jiang~xue~yun
京沪	jing~hu
京北方	jing~bei~fang
禁止令	jin~zhi~ling
禁烟了	jin~yan~le
禁赛了	jin~sai~le
禁赛	jin~sai
禁爱	jin~ai
靳欣豫	jin~xin~yu
晋级了	jin~ji~le
晋东南	jin~dong~nan
晋	jin
劲舞呢	jing~wu~ni
劲霸	jing~ba
妗妗	jin~jin
近照	jin~zhao
近似	jin~si
近年来	jin~nian~lai
近吗	jin~ma
近来很忙吧	jin~lai~hen~mang~ba
近景	jin~jing
近便	jin~bian
进驻	jin~zhu
进屋了	jin~wu~le
进完货	jin~wan~huo
进屯	jin~tun
进入了嘛	jin~ru~le~ma
进入啊	jin~ru~a
进群吗	jin~qun~ma
进去聊	jin~qu~liao
进球视频	jin~qiu~shi~pin
进面	jin~mian
进了啊	jin~le~a
进来呀	jin~lai~ya
进来么	jin~lai~yao
进来吗	jin~lai~ma
进来	jin~lai
进拉去	jin~la~qu
进行时	jin~xing~shi
进房间	jin~fang~jian
进度慢	jin~du~man
进度表	jin~du~biao
进的货	jin~de~huo
进出口	jin~chu~kou
进出	jin~chu
进步去了	jin~bu~qu~le
进步了	jin~bu~le
进不来	jin~bu~lai
进不进的聊	jin~bu~jin~de~liao
进不进	jin~bu~jin
进昂	jin~ang
尽职尽责	jin~zhi~jin~ze
尽所有	jin~suo~you
尽量去	jin~liang~qu
尽欢	jin~huan
锦葵	jin~kui
锦带	jin~dai
